GDP,EC,COAL,OIL,GINI,EMISSION
43096746122,0.74,0.07,11.5,44.2,48.7
50535438696,0.85,0.09,12.6,44,57.7
61667199835,0.95,0.1,14.2,43.8,64.9
72250877410,1.1,0.12,16.7,44.55,74.7
85343063966,1.3,0.16,20.1,45.3,89.7
98234695722,1.43,0.19,21.5,46.6,99.9
1.11E+11,1.58,0.2,24.2,47.9,110.4
1.29E+11,1.8,0.23,27.9,45.7,124.9
1.47E+11,2.02,0.26,31.2,43.5,140
1.69E+11,2.22,0.3,34,43.2,153.9
1.83E+11,2.5,0.37,37.4,42.9,171.9
1.50E+11,2.64,0.38,37.7,42.2,178.7
1.14E+11,2.45,0.3,34.5,41.5,163.8
1.27E+11,2.61,0.32,36.7,43.1,171.2
1.26E+11,2.65,0.33,34.2,42.8,168.2
1.20E+11,2.78,0.37,33.5,42.35,174.5
1.34E+11,3.07,0.39,37.4,41.9,189.4
1.52E+11,3.32,0.4,41.5,42.2,200.3
1.73E+11,3.59,0.45,45.6,42.5,218.3
1.89E+11,3.72,0.49,45.9,42.15,227.5
2.22E+11,3.77,0.52,44.9,41.8,227.7
2.63E+11,3.94,0.58,45.3,39.8,236.7
2.91E+11,3.99,0.63,43.7,40.3,237.4
2.82E+11,4.13,0.63,45.5,39.6,236.5
3.41E+11,4.39,0.65,46.9,39.4,248.7
3.71E+11,4.56,0.66,48.8,37.5,253.5
3.98E+11,4.87,0.69,51.1,39.3,270.6
4.20E+11,4.95,0.68,53,37.8,274.8
4.07E+11,5.09,0.75,53,37,281.6
4.01E+11,5.21,0.73,55.3,36,289.7
4.13E+11,5.32,0.75,57.4,36.9,296.4
4.56E+11,5.41,0.75,58.9,36.5,297.1
5.07E+11,5.53,0.8,59,36.4,299.6
5.44E+11,5.51,0.71,59.2,34.9,294.3
5.02E+11,5.12,0.73,54,35.55,277.1
2956356984,0.1,0.69,2.3,36.2,7
3143538482,0.12,0.65,2.7,36.86,8.2
3188945512,0.12,0.62,2.7,37.51,8.3
3330393310,0.13,0.58,2.8,38.16,8.4
3664575983,0.13,0.54,2.8,38.81,8.7
3864170913,0.15,0.5,3.1,39.47,9.6
4244340334,0.16,0.46,3.4,40.12,10.8
5043268549,0.18,0.43,3.8,40.77,12.2
7662996767,0.2,0.39,4.1,41.42,13.3
9496074114,0.2,0.35,4.1,42.08,13.4
9298800799,0.21,0.31,4.3,42.73,17.7
11050125905,0.23,0.28,4.8,43.38,20.2
13139397879,0.25,0.24,5.5,44.03,21.1
16358376511,0.35,0.2,5.9,44.69,26
21213672089,0.43,0.16,7.2,45.34,32.9
24488033442,0.46,0.12,8.2,45.99,34.8
25004557094,0.47,0.09,8.7,46.64,35.2
26804401816,0.51,0.05,9.1,47.3,37
30346788438,0.58,0.01,9.7,47.95,42.2
33943505718,0.63,0.01,9.5,48.6,44.8
31200161095,0.63,0.01,9.5,48.07,42.5
27734562640,0.7,0.01,9.1,47.53,43.3
32181695507,0.72,0.01,9.3,47,43.5
35271880250,0.77,0.01,10.1,46.6,46.4
38848567631,0.86,0.05,10.5,46.2,53.3
44024178343,0.93,0.06,12.6,46.7,60.6
49143148094,1.12,0.07,13.6,47.2,72.3
59167550163,1.21,0.07,14.9,47.7,77.3
66894837030,1.26,0.06,16.4,47.97,79
74478356958,1.38,0.06,18,48.23,87.2
88705342903,1.44,0.07,18.9,48.5,89.1
1.01E+11,1.61,0.07,20.6,48.8,100.6
1.00E+11,1.87,0.07,23.9,49.1,116.6
72167498981,1.74,0.07,20.3,48.65,107.6
79148421053,1.97,0.08,22.3,48.2,121.1
93789736842,2.2,0.1,22.4,47.75,133.6
92783947368,2.21,0.12,23.3,47.3,135.8
1.01E+11,2.36,0.15,26,46.85,146.8
1.10E+11,2.57,0.22,27.6,46.4,162.3
1.25E+11,2.74,0.28,28,45.87,173.6
1.44E+11,2.92,0.29,28,45.33,183.9
1.63E+11,3.04,0.31,28.9,44.8,189.7
1.94E+11,3.24,0.37,30.8,45.15,193
2.31E+11,3.36,0.41,29.4,45.5,201
2.02E+11,3.25,0.44,29.2,44.97,193.8
2.55E+11,3.35,0.62,29.2,44.43,215.3
2.98E+11,3.47,0.62,31.5,43.9,216.2
3.14E+11,3.73,0.66,32.8,42.6,229.3
3.23E+11,3.9,0.63,34.9,41.3,239.5
3.38E+11,3.94,0.64,35,41.2,249.4
3.01E+11,4,0.73,32.2,41.1,253.7
3.01E+11,4.21,0.78,36.2,41.17,258.3
3.19E+11,4.27,0.87,34,41.24,247.4
3.59E+11,4.33,0.93,34.2,41.3,255
3.65E+11,4.43,0.95,36,41.37,263
3.37E+11,4.11,1.14,31.1,41.44,256
5654463586,0.3,0.07,2.7,41.51,15
5863733231,0.32,0.07,3,41.58,15.8
5961418094,0.32,0.06,3.2,41.64,15.7
5180597621,0.33,0.06,3.3,41.71,15.7
5761588762,0.33,0.06,3.4,41.78,16.2
7911136757,0.39,0.05,4.1,41.92,18.1
9567331065,0.42,0.05,4.4,41.98,19.4
12802281898,0.43,0.06,4.7,42.05,20.9
13940981798,0.44,0.06,4.5,42.12,20.6
12861983284,0.44,0.06,4.3,42.19,19.8
13604832424,0.46,0.06,4.4,42.26,21.5
15446825318,0.46,0.06,4.4,42.32,22.3
18530518395,0.46,0.05,4.2,42.39,21
20731243113,0.46,0.05,4.2,42.46,19.6
23244547385,0.47,0.05,4.1,42.53,19.1
24417617184,0.47,0.05,3.9,42.6,18.7
24164603059,0.48,0.05,3.8,42.66,20.3
24309279706,0.5,0.05,3.7,42.73,20.4
21665975319,0.53,0.05,3.7,42.8,20.5
24679795396,0.54,0.05,3.5,42.87,21
30604668357,0.58,0.05,3.1,42.94,22
40376354070,0.58,0.04,3.6,43.01,22.4
45176811594,0.61,0.05,3.6,43.07,23.4
43920222525,0.55,0.05,3.7,43.14,20.6
45495129385,0.65,0.05,4.1,43.21,25.9
42745329732,0.66,0.05,4.2,43.28,26.4
41649829860,0.67,0.05,4.3,43.35,28
46775620817,0.68,0.05,4.3,43.41,27.4
55314732279,0.72,0.05,5,43.48,28.5
63918703507,0.75,0.05,5.4,43.55,28.8
70140835299,0.76,0.05,5.6,43.62,29.7
66075143415,0.77,0.05,5.9,43.69,31.7
56227169851,0.77,0.05,6,43.75,30.4
58762260626,0.77,0.05,6,43.82,31.7
52623281957,0.81,0.05,6.2,43.89,32.3
53872425917,0.8,0.06,6.2,43.96,34.5
66627729311,0.83,0.06,6.4,44.03,34.5
88250885550,0.8,0.08,6.8,44.09,36.7
1.04E+11,0.83,0.09,6.8,44.16,35.8
1.15E+11,0.8,0.1,7,44.23,38
1.12E+11,0.81,0.09,7.1,44.3,37.8
1.37E+11,0.81,0.07,7.1,44.37,36.9
1.33E+11,0.81,0.09,7.2,44.43,37.9
1.21E+11,0.81,0.07,6.9,44.5,34.9
1.47E+11,0.83,0.06,6.9,44.57,34.8
1.68E+11,0.83,0.06,7.1,44.64,34.7
1.76E+11,0.84,0.07,7,44.71,36.3
1.91E+11,0.84,0.06,7.1,44.77,35.7
2.01E+11,0.88,0.06,7.3,44.84,35.8
1.78E+11,0.89,0.06,7.6,44.91,36.6
1.89E+11,0.89,0.05,7.7,44.98,35.7
2.07E+11,0.91,0.05,8.2,45.05,37.8
2.12E+11,0.91,0.06,8.2,45.11,37.7
2.13E+11,0.93,0.06,8.3,45.18,39.4
2.11E+11,0.84,0.06,6.9,45.25,34.1
6517304758,0.2,0.06,4.2,45.32,13.2
7189017888,0.21,0.05,4.6,45.39,14.4
7724873935,0.24,0.05,5.1,45.45,16.2
8632749269,0.27,0.04,5.9,45.52,18.4
9571800653,0.29,0.04,6.3,45.59,19.7
7559179530,0.33,0.04,7.2,45.66,22.4
8375086047,0.38,0.03,8.3,45.73,26
9067872579,0.37,0.03,8.2,45.79,25.5
11412421020,0.43,0.03,9.6,45.86,29.6
15607825070,0.4,0.02,9,45.93,27.8
16875240683,0.44,0.02,9.7,46,30
19380945793,0.45,0.01,10,46.07,31
22283185056,0.49,0.01,10.9,46.14,34
25762077665,0.51,0.01,11.2,46.2,35.3
31218507870,0.53,0.01,11.6,46.27,36.3
36848242784,0.52,0.01,10.9,46.34,34.7
40499645208,0.52,0.01,10.2,46.41,33
42206011275,0.51,0.01,9.8,46.48,31.9
37759237658,0.55,0.02,10.3,46.54,33.8
35730202751,0.5,0.03,8.4,46.61,29.2
34961565263,0.48,0.05,7.4,46.68,27.5
33987178952,0.49,0.04,7.8,46.75,27.7
37791442731,0.53,0.04,9.1,46.82,32
43152077817,0.58,0.05,9.8,46.88,35.1
48513735777,0.63,0.04,11,46.95,37.8
50508286643,0.66,0.04,11.5,47.02,39.9
51784207132,0.64,0.05,11.1,47.09,39.4
60422309297,0.74,0.05,13.7,47.16,47.5
62036625223,0.76,0.05,14.1,47.22,48.8
73159245524,0.81,0.05,14.9,47.29,51.2
84644220102,0.9,0.06,16.8,47.36,58
94648084429,0.97,0.08,17.5,47.43,62.5
94106183450,1.04,0.1,18.8,47.5,68.5
74492325247,1.06,0.1,19.1,47.56,69.2
85640133800,1.08,0.12,18,47.63,67.4
83669693589,1.08,0.17,16.6,47.7,66.8
78921234457,1.06,0.17,16.5,47.33,67.9
84307291974,1.05,0.15,15.6,46.97,66.5
87039145965,1.09,0.16,15.5,46.6,68.4
95002028505,1.13,0.17,15.9,46.8,70.7
1.07E+11,1.12,0.19,14.8,47,70.8
1.28E+11,1.09,0.21,13.3,47.2,67.9
1.56E+11,1.13,0.23,13.8,46.9,72.2
1.82E+11,1.17,0.27,13.2,46.6,74.4
1.76E+11,1.18,0.25,13.7,46.3,74.9
2.08E+11,1.22,0.29,14.3,46.37,80.5
2.34E+11,1.24,0.32,13.5,46.43,81.3
2.62E+11,1.28,0.34,14,46.5,83.8
2.84E+11,1.38,0.42,14.7,45.87,92.1
2.97E+11,1.45,0.45,15.6,45.23,97.7
3.06E+11,1.59,0.49,17.7,44.6,106.7
3.19E+11,1.73,0.55,19,43.83,116.8
3.28E+11,1.9,0.65,20.3,43.07,129.1
3.47E+11,1.96,0.68,20.4,42.3,134
3.77E+11,2.02,0.73,20.8,41.81,140.9
3.61E+11,1.82,0.73,17,41.31,127.4
5667756645,0.3,0.67,5.7,40.82,18.7
7076465295,0.32,0.61,6,40.32,19.6
8337423313,0.36,0.55,6.4,39.82,21.3
9150684932,0.38,0.49,6.8,39.33,22.6
9333536360,0.37,0.43,7,38.84,23.5
10997590361,0.39,0.37,7.6,38.34,25.4
16273253012,0.44,0.31,9.1,37.85,29.7
25802409639,0.47,0.25,9.5,37.35,31.4
30463855422,0.57,0.19,10.9,36.86,44.7
37269156627,0.6,0.13,11.7,36.36,50.1
45808915663,0.8,0.07,13.8,35.86,62.6
51455719100,0.88,0.01,15.1,35.37,65.2
51400186379,1.01,0.01,16.5,34.88,73.4
72482337370,1.08,0.01,18.4,34.38,80.4
85518233451,1.17,0.01,20.6,33.89,87.2
90158449307,1.2,0.01,21.4,33.39,87.2
81052283405,1.27,0.01,21,32.89,86.9
84853699994,1.37,0.01,22.1,32.4,91.1
85289491750,1.46,0.04,21.8,31.8,91.9
79954072570,1.62,0.06,23.8,31.2,100.8
75929617577,1.71,0.09,24.8,30.6,109.9
84300174477,1.81,0.1,26,30.8,114.5
94451427898,2,0.15,27.5,31,125.1
1.06E+11,2.2,0.14,31.7,31.2,145.1
1.17E+11,2.39,0.14,33.6,31.47,157.7
1.28E+11,2.62,0.18,36.2,31.73,172.6
1.58E+11,2.77,0.21,38,32,183.9
1.77E+11,2.96,0.21,39.1,32.83,192.9
2.02E+11,3.16,0.23,41.5,33.67,205.3
2.27E+11,3.37,0.27,44.1,34.5,216.4
2.16E+11,3.65,0.33,48.9,32.8,241.1
95445547873,3.59,0.36,46.5,31.1,239.3
1.40E+11,3.92,0.49,48.7,31.1,257.4
1.65E+11,4.24,0.55,54.3,28.6,278.2
1.60E+11,4.54,0.7,56.1,29,301.5
1.96E+11,4.69,0.72,57,31.7,311
2.35E+11,5.05,0.97,57.7,31.9,344.5
2.57E+11,5.02,0.89,61.5,32.7,336.4
2.86E+11,5.15,1.02,60.9,33,343.3
3.65E+11,5.23,1.21,58,34.3,362.7
4.32E+11,5.62,1.52,61.5,35.7,393.7
5.10E+11,5.62,1.32,61.4,35.2,385
5.40E+11,5.84,1.39,62.6,35.1,403.3
7.55E+11,6.4,1.65,66.5,36.4,446.5
8.93E+11,6.88,1.96,72.6,39.7,488.3
9.18E+11,7.32,2.22,76.4,39.7,529
9.13E+11,7.56,2.39,75.4,40,538.6
8.91E+11,7.02,1.89,74.4,39.4,487.6
8.61E+11,7.09,2.14,69.8,39.7,502.6
9.32E+11,7.17,2.23,67.6,38.6,502.3
1.02E+12,7.47,2.39,71.9,38.1,526.9
1.04E+12,8.07,2.84,73.4,37.8,575.3
1.12E+12,8.65,3.41,72.1,38.2,624.5
1.06E+12,8.1,3.26,63.9,37.82,579.9
25977153097,1.53,0.73,16.8,37.43,118.8
27309889125,1.6,0.75,18,37.05,125.1
30444618658,1.7,0.77,19.7,36.67,132.4
32716989584,1.8,0.8,21.5,36.28,139.7
36686079068,1.87,0.83,22.1,35.9,144.3
41337215814,2.05,0.83,24.4,35.52,155.3
45222309329,2.15,0.84,25.7,35.13,161.2
52051401869,2.25,0.87,26.1,34.75,168.2
63844971172,2.4,0.91,27.9,34.37,178.6
88981577008,2.55,0.95,29.5,33.98,189
97333060221,2.6,0.98,29.1,33.6,191.9
1.05E+11,2.69,1.01,29.8,33.22,198.4
1.10E+11,2.82,1.06,31.2,32.83,208.4
1.19E+11,2.91,1.09,31.7,32.45,215.1
1.35E+11,3.02,1.14,32.1,32.07,223.1
1.50E+11,3.03,1.17,30.6,31.68,224.3
1.77E+11,3.08,1.2,30.1,31.3,227.8
1.94E+11,3.05,1.21,29.6,31.6,226.8
1.77E+11,2.95,1.21,26.4,31.9,218
1.94E+11,3.06,1.28,27.3,32.2,226.8
1.81E+11,3.15,1.33,27.4,32.5,232.8
1.82E+11,3.21,1.36,27,32.68,237.7
1.89E+11,3.31,1.42,27.7,32.85,245.6
2.36E+11,3.46,1.49,28.9,33.03,257.1
3.00E+11,3.63,1.56,30.1,33.2,270.3
3.11E+11,3.71,1.6,30.8,33.1,274.9
3.26E+11,3.68,1.63,29.7,33,274.8
3.25E+11,3.74,1.64,30.4,32.9,278.7
3.12E+11,3.82,1.65,31.3,32.8,283.3
3.23E+11,3.97,1.69,32.5,32.7,293.3
3.68E+11,4.14,1.74,35.2,32.6,307.7
4.01E+11,4.27,1.81,36.2,32.75,318.1
4.35E+11,4.37,1.91,36.7,32.9,327.9
3.99E+11,4.47,1.99,36.7,33.05,337.4
3.89E+11,4.66,2.11,37.6,33.2,352.9
4.16E+11,4.69,2.13,37.6,33.35,355
3.79E+11,4.73,2.11,37.6,33.5,357.2
3.95E+11,4.82,2.16,38,33.5,363.8
4.67E+11,4.89,2.22,37.8,33.5,370.2
6.14E+11,5.04,2.31,38.8,33.1,383.2
6.95E+11,5.06,2.3,39.3,33.68,383
7.48E+11,5.28,2.36,40.5,34.25,398.6
8.54E+11,5.39,2.34,41.1,34.83,405.8
1.06E+12,5.46,2.44,41.3,35.4,415.2
9.28E+11,5.37,2.36,40.3,35.05,405.6
1.15E+12,5.33,2.19,40.8,34.7,396.5
1.40E+12,5.48,2.13,42.9,34.63,400.7
1.55E+12,5.42,2,44.5,34.55,393.1
1.58E+12,5.49,1.89,45.8,34.48,391.3
1.47E+12,5.54,1.88,45.9,34.4,396.4
1.35E+12,5.67,1.95,45.6,34.4,405.4
1.21E+12,5.7,1.94,45.7,34.4,403.2
1.33E+12,5.67,1.88,47.9,34.4,400.7
1.43E+12,5.7,1.83,48.7,34.4,396.6
1.39E+12,5.88,1.75,48.3,34.4,401
1.33E+12,5.57,1.69,41.9,34.4,372.3